 CODICE_IVASS;TIPO_ALBO;DATA_ISCRIZIONE_ALBO_ELENCO;DATA_CANCELLAZIONE_ALBO_ELENCO;DENOMINAZIONE_IMPRESA;CODICE_FISCALE;CLASSIFICAZIONE;INDIRIZZO_SEDE_LEGALE_RAPPRESENTANZA_IN_ITALIA;INDIRIZZO_DIREZIONE_GENERALE;INDIRIZZO_CASA_MADRE;TIPO_LAVORO;PEC
41024;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2020-03-10;9999-12-31;ASSURED GUARANTY (EUROPE) S.A.; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;6, PLACE DE LA MADELEINE  PARIGI FRANCIA;DANNI; 
10585;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;ATERFÖRSÄKRINGSAKTIEBOLAGET SKF (SKF REINSURANCE COMPANY LTD); ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;S-415 50 GOTEBORG  GOTEBORG SVEZIA;DANNI; 
10082;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;ATHORA BELGIUM NV/SA; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;MARSVELDSTRAAT 23  BRUXELLES BELGIO;MISTA; 
40148;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-16;9999-12-31;ATLAS INSURANCE PCC LIMITED; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;47-50, TA' XBIEX SEA FRONT, TA' XBIEX MSD 11  TA' XBIEX MALTA;DANNI; 
40720;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;AVENUE PRINCE DE LIÈGE,74-78  NAMUR BELGIO;DANNI; 
40721;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;SLUSEHOLMEN 8A  COPENAGHEN DANIMARCA;DANNI; 
40722;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;OPLADENER STRASSE 14  COLONIA GERMANIA;DANNI; 
40723;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;HAMILTON HOUSE, RAJSKÀ 7 (811 08)  BRATISLAVA SLOVACCA, REPUBBLICA;DANNI; 
40724;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;MIKONKATU 9  HELSINKI FINLANDIA;DANNI; 
40725;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;44, AVENUE GEORGES POMPIDOU  LEVALLOIS PERRET FRANCIA;DANNI; 
40726;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;MONUMENTAL PLAZA, BUILDING C, 7TH FLOOR,44 KIFISSIAS AV.  AMAROUSIO GRECIA;DANNI; 
40719;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;SCHÖNBRUNNER-STRASSE 218-220/STG A/5.4 (A-1120)  VIENNA AUSTRIA;DANNI; 
40714;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-10-07;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS;                ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;C/ PASEO DE LA CASTELLANA, 44   MADRID SPAGNA;DANNI; 
40795;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2018-02-12;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;BUSINESS CENTRE VERTIGO 109 BULGARIA BOULEVARD   SOFIA BULGARIA;DANNI; 
40794;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2018-02-12;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;SKYTOWER BUILDING 246, C. CALEA FLOREASCA 34TH FLOOR  (DISTRICT 1)  BUCAREST ROMANIA;DANNI; 
40736;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-06;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;PRAÇA DO BOM SUCESSO, 61-6º ESCRT. 609  (4150-146 ) - PORTO    PORTOGALLO;DANNI; 
40735;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-06;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;RÁDMANSGATAN 69  (113 86)  STOCCOLMA SVEZIA;DANNI; 
40727;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;FEHÉRVÀRI ÙT 50-52  BUDAPEST UNGHERIA;DANNI; 
40732;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-06;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;PROSTA STR.70 (00-838)  VARSAVIA POLONIA;DANNI; 
40731;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-06;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;DAVID  RICARDOSTRAAT 1 (1066 JS)  AMSTERDAM PAESI BASSI;DANNI; 
40730;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-06;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;STRANDVEIEN 15  LYSAKER NORVEGIA;DANNI; 
40729;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-06;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;IMMEUBLE EDELECK 2-4, RUE DU  CHÂTEAU  D'EAU (L-3364)  LEUDELANGE LUSSEMBURGO;DANNI; 
40728;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;43B YEAT'S WAY PARKWEST  DUBLINO IRLANDA;DANNI; 
40734;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-12-06;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;KAROLINSKÁ 661/4 (186 00 )  PRAGA CECA, REPUBBLICA;DANNI; 
10846;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;AUTONHOME MAGYRORSZÁG BIZTOSÍTÓ EGYESÜLET; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;H - 1053 BUDAPEST, KIRÁLYI PÁL U. 20  BUDAPEST UNGHERIA;DANNI; 
40866;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2018-11-14;9999-12-31;AVIVA INSURANCE IRELAND DAC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;ONE PARK PLACE ,HATCH STREET  DUBLINO IRLANDA;DANNI; 
40943;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2019-02-13;9999-12-31;AVIVA LIFE & PENSIONS IRELAND DESIGNATED ACTIVITY COMPANY; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;ONE PARK PLACE, HATCH STREET (D02 T398)  DUBLINO IRLANDA;VITA; 
20127;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;AVIVA LIFE INTERNATIONAL LIMITED; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;6, GEORGES DOCK IFSC  DUBLINO IRLANDA;VITA; 
40768;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2017-10-26;9999-12-31;AVÉRO ACHMEA ZORGVERZEKERINGEN N.V.; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;DELLAERTWEG 1 (2316 WZ)  LEIDEN PAESI BASSI;DANNI; 
40569;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2014-05-29;9999-12-31;AWP HEALTH & LIFE SA; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;7, RUE DORA MAAR 93400 SAINT-OUEN   SAINT-OUEN FRANCIA;PICCOLO CUMULO; 
40570;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2014-04-11;9999-12-31;AWP HEALTH & LIFE SA; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;BACKETT WAY, PARK WEST BUSINESS CAMPUS, NANGOR ROAD, DUBLIN2  DUBLINO IRLANDA;PICCOLO CUMULO; 
40370;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2010-12-23;9999-12-31;AWP P&C S.A.; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;2, RUE DES HIRONDELLES (B - 1000)  BRUXELLES BELGIO;DANNI; 
40394;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2011-06-01;9999-12-31;AWP P&C S.A.; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;POTTENDORFER STRASSE 25-27 (A-1120)  VIENNA AUSTRIA;DANNI; 
40974;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2019-03-26;9999-12-31;AWP P&C S.A.; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;BAHNHOFSTRASSE 16  (D-85609) - ASCHHEIM BEI MÜNCHEN    GERMANIA;DANNI; 
40358;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2010-10-08;9999-12-31;AWP P&C S.A.; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;POELDIJKSTRAAT 4 (NL-1059 VM)  AMSTERDAM PAESI BASSI;DANNI; 
20008;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;AXA ASSURANCE VIE LUXEMBOURG; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;1 PLACE DE L’ETOILE L-1479  LUSSEMBURGO LUSSEMBURGO;VITA; 
10130;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;AXA ASSURANCES IARD MUTUELLE; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;313 TERRASSES DE L'ARCHE  NANTERRE FRANCIA;DANNI; 
10350;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;1996-07-01;9999-12-31;AXA BELGIUM SA/NV; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;PLACE DU TRONE 1 – 1000 BRUXELLES  BRUXELLES BELGIO;DANNI; 
10831;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;AXA FRANCE IARD;                ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;313 TERRASSES DE L'ARCHE  NANTERRE FRANCIA;DANNI; 
40182;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-03-12;9999-12-31;AXA FRANCE VIE;                ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;313 TERRASSES DE L'ARCHE - NANTERRE CEDEX    FRANCIA;PICCOLO CUMULO; 
40969;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2019-03-15;9999-12-31;AXA INSURANCE DAC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;WOLFE TONE HOUSE, 43/45 WOLFE TONE STREET (DUBLIN 1)  DUBLINO IRLANDA;DANNI; 
20119;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;AXA MPS FINANCIAL DAC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;33 SIR JOHN ROGERSON’S QUAY, DUBLIN 2  DUBLINO IRLANDA;VITA; 
40461;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2012-05-16;9999-12-31;AXA SEGUROS GENERALES S.A. DE SEGUROS Y REASEGUROS; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;C/MONSENOR PALMER, 1  PALMA DE MAJORCA SPAGNA;DANNI; 
10151;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;AXA VERSICHERUNG AG; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;COLONIA ALLEE 10-20   COLONIA GERMANIA;DANNI; 
10501;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;AXA VERSICHERUNG AG; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;3, HARBOURMASTER PLACE IFSC  DUBLINO IRLANDA;DANNI; 
40710;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2016-08-26;9999-12-31;AXA WEALTH EUROPE S.A.; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;1, PLACE DE L'ETOILE (L-1479)  LUSSEMBURGO LUSSEMBURGO;VITA; 
40517;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2013-02-11;9999-12-31;AXERIA IARD S.A.; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;129, AVENUE FÉLIX FAURE  LIONE FRANCIA;DANNI; 
41110;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2022-10-25;9999-12-31;AXIOM INSURANCE COMPANY JSC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;150 VITOSHA BLVD., B.L. 70, ET. 1 - 1408  SOFIA BULGARIA;DANNI; 
10587;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;AXIS SPECIALTY EUROPE SE; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;MOUNT HERBERT COURT 34 UPPER MOUNT STREET   DUBLINO IRLANDA;DANNI; 
10705;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;BALCIA INSURANCE SE; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;63 VALDEMARA STREET LV  RIGA LETTONIA;DANNI; 
40397;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2011-06-08;9999-12-31;BALOISE BELGIUM NV/SA; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;POSTHOFBRUG, 16  ANVERSA BELGIO;DANNI; 
40232;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-10-08;9999-12-31;BALOISE LIFE (LIECHTENSTEIN) AG; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;ALTE LANDSTRASSE 6 (LI-9496)  BALZERS LIECHTENSTEIN;VITA; 
10647;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;BALOISE SACHVERSICHERUNG AG DEUTSCHLAND; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;BASLER STRASSE, 4   BAD HOMBURG GERMANIA;DANNI; 
40185;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2007-10-22;9999-12-31;BALOISE VIE LUXEMBOURG SA; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;8, RUE DU CHÂTEAU D'EAU L-3364  LEUDELANGE LUSSEMBURGO;VITA; 
40390;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2011-04-21;9999-12-31;BALTA INSURANCE JOINT STOCK COMPANY; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;RAUNAS STREET 10/12 (LV-1039)  RIGA LETTONIA;DANNI; 
40931;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2019-01-22;9999-12-31;BAVARIA REINSURANCE MALTA LTD; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;5TH FLOOR DEVELOPMENT HOUSE ST. ANNE STREET  FLORIANA MALTA;MISTA; 
40350;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2010-08-18;9999-12-31;BAYERISCHE LANDESBRANDVERSICHERUNG AG; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;MAXIMILIANSTRASSE, 53  MONACO DI BAVIERA GERMANIA;DANNI; 
40349;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2010-08-18;9999-12-31;BAYERISCHER VERSICHERUNGSVERBAND VERSICHERUNGSAKTIENGESELLSCHAFT; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;MAXIMILIANSTRASSE, 53  MONACO DI BAVIERA GERMANIA;DANNI; 
40543;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2014-01-24;9999-12-31;BD 24 BERLIN DIREKT VERSICHERUNG AG; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;WRANGELSTR.100 (10997 )  BERLINO GERMANIA;DANNI; 
40761;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2017-07-21;9999-12-31;BEAZLEY INSURANCE DAC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;2, NORTHWOOD AVENUE, SANTRY,  DUBLINO IRLANDA;DANNI; 
41105;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2022-07-27;9999-12-31;BEAZLEY INSURANCE DAC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;TORRE GLORIES - AVENIDA DIAGONAL 209-211 28TH FLOOR - 08018  BARCELLONA SPAGNA;DANNI; 
41104;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2022-07-27;9999-12-31;BEAZLEY INSURANCE DAC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;1 RUE ST GEORGES 2ND FLOOR - 75009  PARIGI FRANCIA;DANNI; 
41107;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2022-07-27;9999-12-31;BEAZLEY INSURANCE DAC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;ROSENTAL 4 - 80331  MONACO DI BAVIERA GERMANIA;DANNI; 
40970;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2019-03-15;9999-12-31;BERKSHIRE HATHAWAY EUROPEAN INSURANCE DAC;                ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;NO 1 GRANTS ROW, MOUNT STREET LOWER, GRAN CANAL DOCK (D02 HX96)  DUBLINO IRLANDA;DANNI; 
41123;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2023-03-10;9999-12-31;BERKSHIRE HATHAWAY EUROPEAN INSURANCE DAC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;AVENUE DU PORT 86C, BOX 204 - 1000  BRUXELLES BELGIO;DANNI; 
20114;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;BERLINISCHE LEBENSVERISCHERUNG AG; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;GUSTAV - STRESEMANN - RING 7-9  (65189 )  WIESBADEN GERMANIA;VITA; 
10265;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;BMS INTERNATIONAL INSURANCE DAC; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;WILLIS MANAGEMENT (DUBLIN) LTD - ELM PARK - MERRION ROAD   DUBLINO IRLANDA;DANNI; 
40554;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2014-02-25;9999-12-31;BOLTON INTERNATIONAL S.A.; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;74, RUE DE MERL  LUSSEMBURGO LUSSEMBURGO;DANNI; 
10410;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2008-01-03;9999-12-31;BOREALIS INSURANCE A/S; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;C/O GORISSEN FEDERSPIEL, AXELTORV 2 DK-1609  COPENAGHEN DANIMARCA;DANNI; 
40739;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;2017-01-03;9999-12-31;BOTHNIA INTERNATIONAL INSURANCE COMPANY LTD (VAKUUTUSOSAKEYHTIÖ BOTHNIA INTERNATIONAL); ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;RUOHOLAHDENKATU 8 (FI - 00180)  HELSINKI FINLANDIA;DANNI; 
20090;Elenco II - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in libertà di prestazione di servizi;1997-11-21;9999-12-31;BPCE LIFE; ;IMPRESA SEE CHE OPERA IN LIBERA PRESTAZIONE DI SERVIZI;;;51, AVENUE KENNEDY (L-1855 )  LUSSEMBURGO LUSSEMBURGO;VITA; 
